id,category_raw,name,city,district,lat,lng,hazard_level,description_ja,source
TENDO-DIS-001,洪水浸水想定区域,倉津川周辺 浸水想定エリア,天童市,本町・老野森,38.3560,140.3710,3,大雨のときに 倉津川（くらつがわ）があふれる おそれがある ばしょです。かわの ちかくに ちかづかないでね！,天童市洪水避難地図（オープンデータ）
TENDO-DIS-002,洪水浸水想定区域,乱川周辺 浸水想定エリア,天童市,乱川,38.3850,140.3800,4,たいふうや 大雨で 乱川（みだれがわ）の すいいが あがる おそれがあります。あめが つよい ときは ちかづかないでね！,天童市洪水避難地図（オープンデータ）
TENDO-DIS-003,土砂災害警戒区域,舞鶴山周辺 土砂災害警戒区域,天童市,天童,38.3512,140.3755,4,舞鶴山（まいづるやま）の すそのです。大雨の あとは がけくずれに ちゅういしてね！,山形県 土砂災害警戒区域オープンデータ
TENDO-DIS-004,土砂災害警戒区域,貫津地区 土砂災害危険箇所,天童市,貫津,38.3420,140.3950,3,貫津（ぬかづ）地区の やまぎわです。じしんや 大雨の あとは やまくずれに ちゅういしてね！,山形県 土砂災害警戒区域オープンデータ
TENDO-DIS-005,土砂災害特別警戒区域,山口地区 山くずれ警戒エリア,天童市,山口,38.3680,140.4200,5,山口（やまぐち）地区の がけの ちかくです。あめが ふったら はやく はなれようね！,山形県 土砂災害警戒区域オープンデータ
TENDO-DIS-006,洪水浸水想定区域,押切川周辺 浸水想定エリア,天童市,長岡,38.3380,140.3650,3,長岡（ながおか）地区を ながれる 押切川（おしきりがわ）の ちかくです。大雨の ときは ちかづかないでね！,天童市洪水避難地図（オープンデータ）
TENDO-DIS-007,洪水浸水想定区域,立谷川周辺 浸水想定エリア,天童市,荒谷,38.3220,140.3820,3,荒谷（あらや）地区を ながれる 立谷川（たちやがわ）周辺です。川の すいいに ちゅういしようね！,天童市洪水避難地図（オープンデータ）
TENDO-SLT-001,指定緊急避難場所,天童市立中部小学校（避難所）,天童市,老野森2-6-4,38.3591,140.3742,1,【天童市指定避難所】老野森にある 小学校です。大雨や 地震の ときに にげる 安全な ばしょだよ！,天童市指定緊急避難場所一覧オープンデータ
TENDO-SLT-002,指定緊急避難場所,天童市立南部小学校（避難所）,天童市,田鶴町4-2-10,38.3440,140.3768,1,【天童市指定避難所】田鶴町にある 小学校です。いざというときに つかえる 安全な ひなんじょだよ！,天童市指定緊急避難場所一覧オープンデータ
TENDO-SLT-003,指定緊急避難場所,天童市立北部小学校（避難所）,天童市,乱川4-2-25,38.3772,140.3731,1,【天童市指定避難所】乱川にある 小学校です。北エリアの ひなんじょだよ！,天童市指定緊急避難場所一覧オープンデータ
TENDO-SLT-004,指定緊急避難場所,天童市立第一中学校（避難所）,天童市,原町10-1,38.3512,140.3620,1,【天童市指定避難所】原町にある 中学校です。広い 体育館が ひなんじょになります！,天童市指定緊急避難場所一覧オープンデータ
TENDO-SLT-005,指定緊急避難場所,天童市立長岡小学校（避難所）,天童市,東長岡3-3-1,38.3370,140.3665,1,【天童市指定避難所】長岡地区の ひなんじょです。家族で にげる ばしょを たしかめておこう！,天童市指定緊急避難場所一覧オープンデータ
TENDO-SLT-006,指定緊急避難場所,天童市立山口小学校（避難所）,天童市,山口1919,38.3695,140.4190,1,【天童市指定避難所】山口地区の 小学校です。東部の 山あいの 地域の 安全な ばしょだよ！,天童市指定緊急避難場所一覧オープンデータ
TENDO-CRM-001,警察署・交番,天童警察署,天童市,糠塚2-4-1,38.3582,140.3705,1,【警察署】天童市の 中心にある 警察署です。困ったことがあったら お巡りさんに 相談しよう！,山形県警察 警察署・交番所在地オープンデータ
TENDO-CRM-002,警察署・交番,天童西部交番,天童市,交り江4-6-23,38.3565,140.3550,1,【交番】西エリアの 交番です。不審者（ふしんしゃ）を見かけたら すぐに 知らせようね！,山形県警察 警察署・交番所在地オープンデータ
TENDO-CRM-003,警察署・交番,天童南駅前交番,天童市,芳賀タウン北6-3-6,38.3340,140.3690,1,【交番】天童南駅や イオンモールの 近くにある 交番です。助けを もとめられる 安心な 場所だよ！,山形県警察 警察署・交番所在地オープンデータ
TENDO-CRM-004,警察署・交番,山形県警察 山口駐在所,天童市,山口1544-11,38.3710,140.4180,1,【駐在所】山口地区を まもる 駐在所です。地域を 見守ってくれています！,山形県警察 警察署・交番所在地オープンデータ
TENDO-TRF-001,交通事故多発交差点,国道13号 天童バイパス交差点,天童市,鍬ノ町,38.3585,140.3605,4,国道13号線は くるまが とても はやいスピードで とおります。みぎひだりを よく みて わたろうね！,山形県警察 交通事故オープンデータ
TENDO-TRF-002,交通事故多発交差点,国道48号線・乱川交差点,天童市,乱川,38.3750,140.3700,4,おおきい トラックや くるまが たくさん とおる こうじてんです。しんごうを しっかり まもろうね！,山形県警察 交通事故オープンデータ
TENDO-TRF-003,学童通学路 危険箇所,天童駅前通り 交差点,天童市,駅西,38.3605,140.3670,3,えきまえの みちは 朝と 夕方に くるまや バイクが おおくなります。とびだしは ぜったいに やめようね！,天童市通学路交通安全プログラム
TENDO-TRF-004,交通事故多発交差点,天童南駅前・イオンモール周辺交差点,天童市,芳賀タウン,38.3330,140.3685,3,大型商業施設や 駅の 近くで 車が たくさん 行き交います。横断歩道を 渡るときは しっかり 確認しようね！,山形県警察 交通事故オープンデータ
